,adr,ame_d,count_accidents
341,QUAI SAINT MICHEL,VOIE SECURISEE,1
342,QUAI VOLTAIRE,VOIE SECURISEE,3
343,QUATORZE JUILLET (R DU),MOINS SECURISEE,1
344,Quai Jean Compagnon,VOIE SECURISEE,1
345,Quai Marcel Boyer,MOINS SECURISEE,1
346,Quai Marcel Boyer,VOIE SECURISEE,1
347,RASPAIL (AV),AUCUN,1
348,RAYMOND DAVID,VOIE SECURISEE,2
349,REPUBLIQUE AVENUE DE LA N°2 A 90,VOIE SECURISEE,1
350,REPUBLIQUE AVENUE DE LA N°92 A FIN,MOINS SECURISEE,1
351,ROBESPIERRE (R),MOINS SECURISEE,1
352,ROUTE DE LA MUETTE A NEUILLY,VOIE SECURISEE,1
353,ROUTE DE LA PTE DAUPHINE A LA PTE DES SA,VOIE SECURISEE,1
354,RUE ABEL,MOINS SECURISEE,1
355,RUE AGAR,MOINS SECURISEE,1
356,RUE ALAIN,VOIE SECURISEE,1
357,RUE ALEXANDRE PARODI,AUCUN,1
358,RUE AMELOT,AUCUN,1
359,RUE ARCHEREAU,MOINS SECURISEE,2
360,RUE ARSENE HOUSSAYE,MOINS SECURISEE,1
361,RUE BALLU,AUCUN,1
362,RUE BEAUBOURG,MOINS SECURISEE,1
363,RUE BEAUJON,MOINS SECURISEE,1
364,RUE BLANCHE,AUCUN,1
365,RUE BOTZARIS,AUCUN,1
366,RUE BOURSAULT,AUCUN,1
367,RUE BRANCION,MOINS SECURISEE,1
368,RUE BRILLAT SAVARIN,AUCUN,1
369,RUE BROCA,AUCUN,1
370,RUE BRUNEL,VOIE SECURISEE,1
371,RUE BUFFON,AUCUN,2
372,RUE CAMBACERES,MOINS SECURISEE,1
373,RUE CAMBRONNE,MOINS SECURISEE,2
374,RUE CARDINET,MOINS SECURISEE,1
375,RUE CIVIALE,AUCUN,1
376,RUE CLAUDE BERNARD,AUCUN,1
377,RUE CORBON,AUCUN,1
378,RUE CROZATIER,AUCUN,1
379,RUE CURIAL,VOIE SECURISEE,1
380,RUE D ABOUKIR,AUCUN,2
381,RUE D ALESIA,AUCUN,1
382,RUE D ALESIA,MOINS SECURISEE,1
383,RUE D ALESIA,VOIE SECURISEE,2
384,RUE D AMSTERDAM,AUCUN,3
385,RUE D ARTOIS,MOINS SECURISEE,1
386,RUE D AUBERVILLIERS,VOIE SECURISEE,2
387,RUE D ESTREES,MOINS SECURISEE,1
388,RUE D HAUTEVILLE,MOINS SECURISEE,1
389,RUE D HAUTPOUL,AUCUN,2
390,RUE D ORSEL,AUCUN,1
391,RUE DAMREMONT,VOIE SECURISEE,1
392,RUE DARMESTETER,VOIE SECURISEE,1
393,RUE DE BAGNOLET,AUCUN,1
394,RUE DE BELLECHASSE,AUCUN,1
395,RUE DE BELLEVILLE,AUCUN,2
396,RUE DE BELLEVILLE,MOINS SECURISEE,1
397,RUE DE BOULAINVILLIERS,MOINS SECURISEE,1
398,RUE DE BOURGOGNE,AUCUN,1
399,RUE DE BRETAGNE,AUCUN,1
400,RUE DE CASTIGLIONE,VOIE SECURISEE,1
401,RUE DE CHABROL,MOINS SECURISEE,1
402,RUE DE CHARENTON,AUCUN,2
403,RUE DE CHARENTON,MOINS SECURISEE,2
404,RUE DE CHARONNE,AUCUN,1
405,RUE DE CHATEAUDUN,VOIE SECURISEE,1
406,RUE DE CLERY,AUCUN,1
407,RUE DE CLICHY,MOINS SECURISEE,2
408,RUE DE CLIGNANCOURT,AUCUN,1
409,RUE DE CONSTANTINE,VOIE SECURISEE,1
410,RUE DE COURCELLES,MOINS SECURISEE,1
411,RUE DE CRIMEE,VOIE SECURISEE,2
412,RUE DE CRONSTADT,AUCUN,1
413,RUE DE DUNKERQUE,AUCUN,1
414,RUE DE DUNKERQUE,MOINS SECURISEE,1
415,RUE DE GRENELLE,AUCUN,1
416,RUE DE JAVEL,AUCUN,1
417,RUE DE JOINVILLE,AUCUN,1
418,RUE DE L AMIRAL DE COLIGNY,MOINS SECURISEE,1
419,RUE DE L AMIRAL DE COLIGNY,VOIE SECURISEE,1
420,RUE DE L ECHIQUIER,AUCUN,1
421,RUE DE L EVANGILE,MOINS SECURISEE,1
422,RUE DE L OURCQ,MOINS SECURISEE,2
423,RUE DE L UNIVERSITE,VOIE SECURISEE,3
424,RUE DE LA CHAPELLE,AUCUN,2
425,RUE DE LA CHAPELLE,MOINS SECURISEE,1
426,RUE DE LA CONVENTION,AUCUN,5
427,RUE DE LA CONVENTION,MOINS SECURISEE,1
428,RUE DE LA CROIX NIVERT,VOIE SECURISEE,1
429,RUE DE LA DUEE,AUCUN,1
430,RUE DE LA FOLIE MERICOURT,AUCUN,1
431,RUE DE LA GLACIERE,AUCUN,1
432,RUE DE LA GLACIERE,MOINS SECURISEE,1
433,RUE DE LA GLACIERE,VOIE SECURISEE,1
434,RUE DE LA JONQUIERE,AUCUN,2
435,RUE DE LA LEGION D HONNEUR,AUCUN,2
436,RUE DE LA MAISON BLANCHE,MOINS SECURISEE,1
437,RUE DE LA PEPINIERE,MOINS SECURISEE,1
438,RUE DE LA POMPE,AUCUN,1
439,RUE DE LA ROQUETTE,AUCUN,2
440,RUE DE LA TOMBE ISSOIRE,AUCUN,1
441,RUE DE LA TOUR D AUVERGNE,AUCUN,1
442,RUE DE LA VILLE L EVEQUE,MOINS SECURISEE,1
443,RUE DE LA VILLETTE,AUCUN,1
444,RUE DE LILLE,AUCUN,1
445,RUE DE LONGCHAMP,MOINS SECURISEE,2
446,RUE DE LOURMEL,AUCUN,1
447,RUE DE LYON,AUCUN,1
448,RUE DE MEAUX,AUCUN,2
449,RUE DE MENILMONTANT,AUCUN,3
450,RUE DE MONCEAU,AUCUN,1
451,RUE DE MONCEAU,MOINS SECURISEE,1
452,RUE DE MONTREUIL,AUCUN,1
453,RUE DE PRESBOURG,VOIE SECURISEE,1
454,RUE DE RENNES,MOINS SECURISEE,1
455,RUE DE REUILLY,AUCUN,1
456,RUE DE RICHELIEU,MOINS SECURISEE,1
457,RUE DE RIVOLI,AUCUN,6
458,RUE DE RIVOLI,VOIE SECURISEE,21
459,RUE DE ROCHECHOUART,AUCUN,1
460,RUE DE ROHAN,MOINS SECURISEE,1
461,RUE DE ROME,AUCUN,1
462,RUE DE SEVRES,AUCUN,3
463,RUE DE SEVRES,MOINS SECURISEE,1
464,RUE DE SEZE,MOINS SECURISEE,1
465,RUE DE TANGER,MOINS SECURISEE,1
466,RUE DE TOLBIAC,AUCUN,2
467,RUE DE TOLBIAC,MOINS SECURISEE,3
468,RUE DE TURBIGO,AUCUN,4
469,RUE DE TURBIGO,MOINS SECURISEE,3
470,RUE DE TURBIGO,VOIE SECURISEE,1
471,RUE DE TURENNE,AUCUN,3
472,RUE DE VARENNE,AUCUN,1
473,RUE DE VAUGIRARD,AUCUN,1
474,RUE DE VAUGIRARD,MOINS SECURISEE,10
475,RUE DE VAUGIRARD,VOIE SECURISEE,3
476,RUE DES BOULETS,AUCUN,1
477,RUE DES CARMES,AUCUN,1
478,RUE DES COURONNES,AUCUN,1
479,RUE DES ECLUSES SAINT MARTIN,MOINS SECURISEE,2
